sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD-MM-YYYY HH:mm;kWh;kWh
15-04-2010 00:00;559,520;
15-04-2010 00:10;559,520;
15-04-2010 00:20;559,520;
15-04-2010 00:30;559,520;
15-04-2010 00:40;559,520;
15-04-2010 00:50;559,520;
15-04-2010 01:00;559,520;
15-04-2010 01:10;559,520;
15-04-2010 01:20;559,520;
15-04-2010 01:30;559,520;
15-04-2010 01:40;559,520;
15-04-2010 01:50;559,520;
15-04-2010 02:00;559,520;
15-04-2010 02:10;559,520;
15-04-2010 02:20;559,520;
15-04-2010 02:30;559,520;
15-04-2010 02:40;559,520;
15-04-2010 02:50;559,520;
15-04-2010 03:00;559,520;
15-04-2010 03:10;559,520;
15-04-2010 03:20;559,520;
15-04-2010 03:30;559,520;
15-04-2010 03:40;559,520;
15-04-2010 03:50;559,520;
15-04-2010 04:00;559,520;
15-04-2010 04:10;559,520;
15-04-2010 04:20;559,520;
15-04-2010 04:30;559,520;
15-04-2010 04:40;559,520;
15-04-2010 04:50;559,520;
15-04-2010 05:00;559,520;
15-04-2010 05:10;559,520;
15-04-2010 05:20;559,520;
15-04-2010 05:30;559,520;
15-04-2010 05:40;559,520;
15-04-2010 05:50;559,520;
15-04-2010 06:00;559,520;
15-04-2010 06:10;559,520;
15-04-2010 06:20;559,520;
15-04-2010 06:30;559,520;
15-04-2010 06:40;559,520;216,055
15-04-2010 06:50;559,520;216,055
15-04-2010 07:00;559,520;216,055
15-04-2010 07:10;559,521;216,055
15-04-2010 07:20;559,525;216,055
15-04-2010 07:30;559,528;216,055
15-04-2010 07:40;559,533;216,055
15-04-2010 07:50;559,538;216,055
15-04-2010 08:00;559,545;216,055
15-04-2010 08:10;559,566;216,055
15-04-2010 08:20;559,608;216,064
15-04-2010 08:30;559,659;216,083
15-04-2010 08:40;559,720;216,105
15-04-2010 08:50;559,773;216,126
15-04-2010 09:00;559,822;216,145
15-04-2010 09:10;559,873;216,163
15-04-2010 09:20;559,925;216,184
15-04-2010 09:30;559,986;216,205
15-04-2010 09:40;560,053;216,229
15-04-2010 09:50;560,147;216,264
15-04-2010 10:00;560,211;216,291
15-04-2010 10:10;560,254;216,308
15-04-2010 10:20;560,299;216,325
15-04-2010 10:30;560,358;216,345
15-04-2010 10:40;560,441;216,375
15-04-2010 10:50;560,530;216,407
15-04-2010 11:00;560,639;216,449
15-04-2010 11:10;560,724;216,482
15-04-2010 11:20;560,831;216,520
15-04-2010 11:30;560,940;216,562
15-04-2010 11:40;561,053;216,604
15-04-2010 11:50;561,146;216,644
15-04-2010 12:00;561,223;216,673
15-04-2010 12:10;561,302;216,703
15-04-2010 12:20;561,373;216,730
15-04-2010 12:30;561,436;216,754
15-04-2010 12:40;561,503;216,779
15-04-2010 12:50;561,562;216,803
15-04-2010 13:00;561,644;216,829
15-04-2010 13:10;561,757;216,871
15-04-2010 13:20;561,858;216,911
15-04-2010 13:30;561,940;216,945
15-04-2010 13:40;561,984;216,965
15-04-2010 13:50;562,026;216,981
15-04-2010 14:00;562,068;216,997
15-04-2010 14:10;562,116;217,014
15-04-2010 14:20;562,178;217,038
15-04-2010 14:30;562,217;217,054
15-04-2010 14:40;562,252;217,067
15-04-2010 14:50;562,291;217,081
15-04-2010 15:00;562,355;217,102
15-04-2010 15:10;562,436;217,132
15-04-2010 15:20;562,506;217,159
15-04-2010 15:30;562,616;217,195
15-04-2010 15:40;562,758;217,249
15-04-2010 15:50;562,872;217,295
15-04-2010 16:00;562,970;217,335
15-04-2010 16:10;563,072;217,371
15-04-2010 16:20;563,212;217,421
15-04-2010 16:30;563,332;217,471
15-04-2010 16:40;563,442;217,512
15-04-2010 16:50;563,554;217,556
15-04-2010 17:00;563,663;217,599
15-04-2010 17:10;563,739;217,630
15-04-2010 17:20;563,811;217,657
15-04-2010 17:30;563,917;217,693
15-04-2010 17:40;564,028;217,737
15-04-2010 17:50;564,123;217,775
15-04-2010 18:00;564,218;217,810
15-04-2010 18:10;564,316;217,848
15-04-2010 18:20;564,393;217,880
15-04-2010 18:30;564,445;217,902
15-04-2010 18:40;564,488;217,919
15-04-2010 18:50;564,529;217,935
15-04-2010 19:00;564,559;217,947
15-04-2010 19:10;564,579;217,955
15-04-2010 19:20;564,591;217,960
15-04-2010 19:30;564,598;217,960
15-04-2010 19:40;564,599;217,960
15-04-2010 19:50;564,599;217,960
15-04-2010 20:00;564,599;217,960
15-04-2010 20:10;564,599;
15-04-2010 20:20;564,599;
15-04-2010 20:30;564,599;
15-04-2010 20:40;564,599;
15-04-2010 20:50;564,599;
15-04-2010 21:00;564,599;
15-04-2010 21:10;564,599;
15-04-2010 21:20;564,599;
15-04-2010 21:30;564,599;
15-04-2010 21:40;564,599;
15-04-2010 21:50;564,599;
15-04-2010 22:00;564,599;
15-04-2010 22:10;564,599;
15-04-2010 22:20;564,599;
15-04-2010 22:30;564,599;
15-04-2010 22:40;564,599;
15-04-2010 22:50;564,599;
15-04-2010 23:00;564,599;
15-04-2010 23:10;564,599;
15-04-2010 23:20;564,599;
15-04-2010 23:30;564,599;
15-04-2010 23:40;564,599;
15-04-2010 23:50;564,599;
