sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD-MM-YYYY HH:mm;kWh;kWh
12-04-2010 00:00;509,152;
12-04-2010 00:10;509,152;
12-04-2010 00:20;509,152;
12-04-2010 00:30;509,152;
12-04-2010 00:40;509,152;
12-04-2010 00:50;509,152;
12-04-2010 01:00;509,152;
12-04-2010 01:10;509,152;
12-04-2010 01:20;509,152;
12-04-2010 01:30;509,152;
12-04-2010 01:40;509,152;
12-04-2010 01:50;509,152;
12-04-2010 02:00;509,152;
12-04-2010 02:10;509,152;
12-04-2010 02:20;509,152;
12-04-2010 02:30;509,152;
12-04-2010 02:40;509,152;
12-04-2010 02:50;509,152;
12-04-2010 03:00;509,152;
12-04-2010 03:10;509,152;
12-04-2010 03:20;509,152;
12-04-2010 03:30;509,152;
12-04-2010 03:40;509,152;
12-04-2010 03:50;509,152;
12-04-2010 04:00;509,152;
12-04-2010 04:10;509,152;
12-04-2010 04:20;509,152;
12-04-2010 04:30;509,152;
12-04-2010 04:40;509,152;
12-04-2010 04:50;509,152;
12-04-2010 05:00;509,152;
12-04-2010 05:10;509,152;
12-04-2010 05:20;509,152;
12-04-2010 05:30;509,152;
12-04-2010 05:40;509,152;
12-04-2010 05:50;509,152;
12-04-2010 06:00;509,152;
12-04-2010 06:10;509,152;
12-04-2010 06:20;509,152;
12-04-2010 06:30;509,152;
12-04-2010 06:40;509,152;
12-04-2010 06:50;509,152;
12-04-2010 07:00;509,152;196,733
12-04-2010 07:10;509,152;196,733
12-04-2010 07:20;509,157;196,733
12-04-2010 07:30;509,166;196,733
12-04-2010 07:40;509,176;196,733
12-04-2010 07:50;509,191;196,733
12-04-2010 08:00;509,213;196,739
12-04-2010 08:10;509,232;196,745
12-04-2010 08:20;509,257;196,753
12-04-2010 08:30;509,290;196,765
12-04-2010 08:40;509,314;196,775
12-04-2010 08:50;509,324;196,776
12-04-2010 09:00;509,345;196,776
12-04-2010 09:10;509,369;196,779
12-04-2010 09:20;509,409;196,793
12-04-2010 09:30;509,457;196,811
12-04-2010 09:40;509,495;196,825
12-04-2010 09:50;509,539;196,842
12-04-2010 10:00;509,577;196,856
12-04-2010 10:10;509,603;196,866
12-04-2010 10:20;509,623;196,873
12-04-2010 10:30;509,657;196,884
12-04-2010 10:40;509,722;196,909
12-04-2010 10:50;509,782;196,931
12-04-2010 11:00;509,909;196,974
12-04-2010 11:10;510,045;197,029
12-04-2010 11:20;510,103;197,054
12-04-2010 11:30;510,175;197,079
12-04-2010 11:40;510,281;197,117
12-04-2010 11:50;510,494;197,196
12-04-2010 12:00;510,680;197,269
12-04-2010 12:10;510,971;197,378
12-04-2010 12:20;511,298;197,504
12-04-2010 12:30;511,621;197,632
12-04-2010 12:40;511,853;197,721
12-04-2010 12:50;512,099;197,818
12-04-2010 13:00;512,364;197,920
12-04-2010 13:10;512,683;198,040
12-04-2010 13:20;513,058;198,184
12-04-2010 13:30;513,449;198,338
12-04-2010 13:40;513,781;198,472
12-04-2010 13:50;513,964;198,543
12-04-2010 14:00;514,086;198,592
12-04-2010 14:10;514,310;198,672
12-04-2010 14:20;514,694;198,820
12-04-2010 14:30;514,911;198,912
12-04-2010 14:40;515,003;198,951
12-04-2010 14:50;515,087;198,977
12-04-2010 15:00;515,360;199,065
12-04-2010 15:10;515,902;199,287
12-04-2010 15:20;516,433;199,486
12-04-2010 15:30;516,797;199,637
12-04-2010 15:40;516,995;199,719
12-04-2010 15:50;517,270;199,823
12-04-2010 16:00;517,323;199,852
12-04-2010 16:10;517,440;199,885
12-04-2010 16:20;517,685;199,988
12-04-2010 16:30;517,779;200,023
12-04-2010 16:40;517,868;200,058
12-04-2010 16:50;517,919;200,079
12-04-2010 17:00;518,123;200,155
12-04-2010 17:10;518,181;200,181
12-04-2010 17:20;518,245;200,203
12-04-2010 17:30;518,357;200,246
12-04-2010 17:40;518,424;200,273
12-04-2010 17:50;518,485;200,294
12-04-2010 18:00;518,633;200,349
12-04-2010 18:10;518,697;200,376
12-04-2010 18:20;518,726;200,387
12-04-2010 18:30;518,760;200,398
12-04-2010 18:40;518,802;200,415
12-04-2010 18:50;518,826;200,425
12-04-2010 19:00;518,845;200,432
12-04-2010 19:10;518,860;200,436
12-04-2010 19:20;518,873;200,439
12-04-2010 19:30;518,882;200,439
12-04-2010 19:40;518,889;200,439
12-04-2010 19:50;518,889;200,439
12-04-2010 20:00;518,889;
12-04-2010 20:10;518,889;
12-04-2010 20:20;518,889;
12-04-2010 20:30;518,889;
12-04-2010 20:40;518,889;
12-04-2010 20:50;518,889;
12-04-2010 21:00;518,889;
12-04-2010 21:10;518,889;
12-04-2010 21:20;518,889;
12-04-2010 21:30;518,889;
12-04-2010 21:40;518,889;
12-04-2010 21:50;518,889;
12-04-2010 22:00;518,889;
12-04-2010 22:10;518,889;
12-04-2010 22:20;518,889;
12-04-2010 22:30;518,889;
12-04-2010 22:40;518,889;
12-04-2010 22:50;518,889;
12-04-2010 23:00;518,889;
12-04-2010 23:10;518,889;
12-04-2010 23:20;518,889;
12-04-2010 23:30;518,889;
12-04-2010 23:40;518,889;
12-04-2010 23:50;518,889;
