sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD-MM-YYYY HH:mm;kWh;kWh
14-04-2010 00:00;545,614;
14-04-2010 00:10;545,614;
14-04-2010 00:20;545,614;
14-04-2010 00:30;545,614;
14-04-2010 00:40;545,614;
14-04-2010 00:50;545,614;
14-04-2010 01:00;545,614;
14-04-2010 01:10;545,614;
14-04-2010 01:20;545,614;
14-04-2010 01:30;545,614;
14-04-2010 01:40;545,614;
14-04-2010 01:50;545,614;
14-04-2010 02:00;545,614;
14-04-2010 02:10;545,614;
14-04-2010 02:20;545,614;
14-04-2010 02:30;545,614;
14-04-2010 02:40;545,614;
14-04-2010 02:50;545,614;
14-04-2010 03:00;545,614;
14-04-2010 03:10;545,614;
14-04-2010 03:20;545,614;
14-04-2010 03:30;545,614;
14-04-2010 03:40;545,614;
14-04-2010 03:50;545,614;
14-04-2010 04:00;545,614;
14-04-2010 04:10;545,614;
14-04-2010 04:20;545,614;
14-04-2010 04:30;545,614;
14-04-2010 04:40;545,614;
14-04-2010 04:50;545,614;
14-04-2010 05:00;545,614;
14-04-2010 05:10;545,614;
14-04-2010 05:20;545,614;
14-04-2010 05:30;545,614;
14-04-2010 05:40;545,614;
14-04-2010 05:50;545,614;
14-04-2010 06:00;545,614;
14-04-2010 06:10;545,614;
14-04-2010 06:20;545,614;
14-04-2010 06:30;545,614;
14-04-2010 06:40;545,614;210,800
14-04-2010 06:50;545,614;210,800
14-04-2010 07:00;545,617;210,800
14-04-2010 07:10;545,624;210,800
14-04-2010 07:20;545,631;210,800
14-04-2010 07:30;545,645;210,800
14-04-2010 07:40;545,664;210,800
14-04-2010 07:50;545,683;210,800
14-04-2010 08:00;545,706;210,800
14-04-2010 08:10;545,738;210,800
14-04-2010 08:20;545,785;210,817
14-04-2010 08:30;545,858;210,841
14-04-2010 08:40;546,023;210,902
14-04-2010 08:50;546,161;210,954
14-04-2010 09:00;546,447;211,063
14-04-2010 09:10;546,728;211,163
14-04-2010 09:20;546,925;211,246
14-04-2010 09:30;547,297;211,382
14-04-2010 09:40;547,696;211,535
14-04-2010 09:50;548,119;211,696
14-04-2010 10:00;548,554;211,864
14-04-2010 10:10;549,038;212,049
14-04-2010 10:20;549,545;212,247
14-04-2010 10:30;550,073;212,449
14-04-2010 10:40;550,638;212,666
14-04-2010 10:50;551,229;212,892
14-04-2010 11:00;551,818;213,121
14-04-2010 11:10;552,415;213,351
14-04-2010 11:20;553,051;213,599
14-04-2010 11:30;553,698;213,847
14-04-2010 11:40;554,347;214,101
14-04-2010 11:50;554,995;214,350
14-04-2010 12:00;555,530;214,566
14-04-2010 12:10;556,105;214,777
14-04-2010 12:20;556,737;215,029
14-04-2010 12:30;557,098;215,187
14-04-2010 12:40;557,254;215,261
14-04-2010 12:50;557,319;215,284
14-04-2010 13:00;557,412;215,320
14-04-2010 13:10;557,508;215,354
14-04-2010 13:20;557,640;215,401
14-04-2010 13:30;557,834;215,478
14-04-2010 13:40;557,909;215,513
14-04-2010 13:50;557,965;215,532
14-04-2010 14:00;558,030;215,559
14-04-2010 14:10;558,072;215,575
14-04-2010 14:20;558,122;215,593
14-04-2010 14:30;558,173;215,614
14-04-2010 14:40;558,254;215,639
14-04-2010 14:50;558,403;215,696
14-04-2010 15:00;558,466;215,725
14-04-2010 15:10;558,535;215,750
14-04-2010 15:20;558,594;215,774
14-04-2010 15:30;558,630;215,788
14-04-2010 15:40;558,673;215,805
14-04-2010 15:50;558,731;215,824
14-04-2010 16:00;558,810;215,854
14-04-2010 16:10;559,017;215,921
14-04-2010 16:20;559,164;215,990
14-04-2010 16:30;559,216;216,011
14-04-2010 16:40;559,276;216,035
14-04-2010 16:50;559,297;216,045
14-04-2010 17:00;559,308;216,045
14-04-2010 17:10;559,326;216,045
14-04-2010 17:20;559,342;216,045
14-04-2010 17:30;559,367;216,049
14-04-2010 17:40;559,384;216,055
14-04-2010 17:50;559,403;216,055
14-04-2010 18:00;559,423;216,055
14-04-2010 18:10;559,448;216,055
14-04-2010 18:20;559,450;216,055
14-04-2010 18:30;559,456;216,055
14-04-2010 18:40;559,466;216,055
14-04-2010 18:50;559,483;216,055
14-04-2010 19:00;559,496;216,055
14-04-2010 19:10;559,508;216,055
14-04-2010 19:20;559,513;216,055
14-04-2010 19:30;559,517;216,055
14-04-2010 19:40;559,519;216,055
14-04-2010 19:50;559,520;216,055
14-04-2010 20:00;559,520;
14-04-2010 20:10;559,520;
14-04-2010 20:20;559,520;
14-04-2010 20:30;559,520;
14-04-2010 20:40;559,520;
14-04-2010 20:50;559,520;
14-04-2010 21:00;559,520;
14-04-2010 21:10;559,520;
14-04-2010 21:20;559,520;
14-04-2010 21:30;559,520;
14-04-2010 21:40;559,520;
14-04-2010 21:50;559,520;
14-04-2010 22:00;559,520;
14-04-2010 22:10;559,520;
14-04-2010 22:20;559,520;
14-04-2010 22:30;559,520;
14-04-2010 22:40;559,520;
14-04-2010 22:50;559,520;
14-04-2010 23:00;559,520;
14-04-2010 23:10;559,520;
14-04-2010 23:20;559,520;
14-04-2010 23:30;559,520;
14-04-2010 23:40;559,520;
14-04-2010 23:50;559,520;
