sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
23.03.2010 00:00;127,169;
23.03.2010 00:10;127,169;
23.03.2010 00:20;127,169;
23.03.2010 00:30;127,169;
23.03.2010 00:40;127,169;
23.03.2010 00:50;127,169;
23.03.2010 01:00;127,169;
23.03.2010 01:10;127,169;
23.03.2010 01:20;127,169;
23.03.2010 01:30;127,169;
23.03.2010 01:40;127,169;
23.03.2010 01:50;127,169;
23.03.2010 02:00;127,169;
23.03.2010 02:10;127,169;
23.03.2010 02:20;127,169;
23.03.2010 02:30;127,169;
23.03.2010 02:40;127,169;
23.03.2010 02:50;127,169;
23.03.2010 03:00;127,169;
23.03.2010 03:10;127,169;
23.03.2010 03:20;127,169;
23.03.2010 03:30;127,169;
23.03.2010 03:40;127,169;
23.03.2010 03:50;127,169;
23.03.2010 04:00;127,169;
23.03.2010 04:10;127,169;
23.03.2010 04:20;127,169;
23.03.2010 04:30;127,169;
23.03.2010 04:40;127,169;
23.03.2010 04:50;127,169;
23.03.2010 05:00;127,169;
23.03.2010 05:10;127,169;
23.03.2010 05:20;127,169;
23.03.2010 05:30;127,169;
23.03.2010 05:40;127,169;
23.03.2010 05:50;127,169;
23.03.2010 06:00;127,169;
23.03.2010 06:10;127,169;
23.03.2010 06:20;127,169;48,745
23.03.2010 06:30;127,173;48,745
23.03.2010 06:40;127,182;48,745
23.03.2010 06:50;127,195;48,745
23.03.2010 07:00;127,208;48,745
23.03.2010 07:10;127,234;48,745
23.03.2010 07:20;127,319;48,774
23.03.2010 07:30;127,464;48,829
23.03.2010 07:40;127,635;48,894
23.03.2010 07:50;127,857;48,979
23.03.2010 08:00;128,048;49,051
23.03.2010 08:10;128,143;49,087
23.03.2010 08:20;128,291;49,144
23.03.2010 08:30;128,514;49,232
23.03.2010 08:40;128,925;49,390
23.03.2010 08:50;129,339;49,551
23.03.2010 09:00;129,748;49,708
23.03.2010 09:10;130,208;49,888
23.03.2010 09:20;130,707;50,080
23.03.2010 09:30;131,199;50,273
23.03.2010 09:40;131,738;50,481
23.03.2010 09:50;132,290;50,695
23.03.2010 10:00;132,781;50,884
23.03.2010 10:10;133,168;51,035
23.03.2010 10:20;133,346;51,103
23.03.2010 10:30;133,490;51,158
23.03.2010 10:40;133,600;51,201
23.03.2010 10:50;133,697;51,238
23.03.2010 11:00;133,773;51,267
23.03.2010 11:10;133,843;51,293
23.03.2010 11:20;133,908;51,318
23.03.2010 11:30;133,970;51,341
23.03.2010 11:40;134,074;51,381
23.03.2010 11:50;134,384;51,502
23.03.2010 12:00;134,629;51,596
23.03.2010 12:10;134,762;51,648
23.03.2010 12:20;134,913;51,706
23.03.2010 12:30;135,149;51,797
23.03.2010 12:40;135,596;51,972
23.03.2010 12:50;136,075;52,156
23.03.2010 13:00;136,461;52,306
23.03.2010 13:10;136,858;52,460
23.03.2010 13:20;137,286;52,624
23.03.2010 13:30;137,884;52,859
23.03.2010 13:40;138,193;52,979
23.03.2010 13:50;138,609;53,137
23.03.2010 14:00;138,770;53,205
23.03.2010 14:10;138,849;53,235
23.03.2010 14:20;139,025;53,299
23.03.2010 14:30;139,529;53,498
23.03.2010 14:40;139,706;53,566
23.03.2010 14:50;140,029;53,687
23.03.2010 15:00;140,479;53,866
23.03.2010 15:10;140,771;53,978
23.03.2010 15:20;141,114;54,112
23.03.2010 15:30;141,340;54,200
23.03.2010 15:40;141,576;54,293
23.03.2010 15:50;141,695;54,338
23.03.2010 16:00;142,015;54,460
23.03.2010 16:10;142,240;54,548
23.03.2010 16:20;142,486;54,643
23.03.2010 16:30;142,714;54,733
23.03.2010 16:40;142,917;54,811
23.03.2010 16:50;143,071;54,872
23.03.2010 17:00;143,191;54,918
23.03.2010 17:10;143,284;54,954
23.03.2010 17:20;143,360;54,983
23.03.2010 17:30;143,409;55,001
23.03.2010 17:40;143,447;55,016
23.03.2010 17:50;143,470;55,024
23.03.2010 18:00;143,484;55,029
23.03.2010 18:10;143,490;55,029
23.03.2010 18:20;143,491;55,029
23.03.2010 18:30;143,491;55,029
23.03.2010 18:40;143,491;
23.03.2010 18:50;143,491;
23.03.2010 19:00;143,491;
23.03.2010 19:10;143,491;
23.03.2010 19:20;143,491;
23.03.2010 19:30;143,491;
23.03.2010 19:40;143,491;
23.03.2010 19:50;143,491;
23.03.2010 20:00;143,491;
23.03.2010 20:10;143,491;
23.03.2010 20:20;143,491;
23.03.2010 20:30;143,491;
23.03.2010 20:40;143,491;
23.03.2010 20:50;143,491;
23.03.2010 21:00;143,491;
23.03.2010 21:10;143,491;
23.03.2010 21:20;143,491;
23.03.2010 21:30;143,491;
23.03.2010 21:40;143,491;
23.03.2010 21:50;143,491;
23.03.2010 22:00;143,491;
23.03.2010 22:10;143,491;
23.03.2010 22:20;143,491;
23.03.2010 22:30;143,491;
23.03.2010 22:40;143,491;
23.03.2010 22:50;143,491;
23.03.2010 23:00;143,491;
23.03.2010 23:10;143,491;
23.03.2010 23:20;143,491;
23.03.2010 23:30;143,491;
23.03.2010 23:40;143,491;
23.03.2010 23:50;143,491;
