sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
26.03.2010 00:00;194,293;
26.03.2010 00:10;194,293;
26.03.2010 00:20;194,293;
26.03.2010 00:30;194,293;
26.03.2010 00:40;194,293;
26.03.2010 00:50;194,293;
26.03.2010 01:00;194,293;
26.03.2010 01:10;194,293;
26.03.2010 01:20;194,293;
26.03.2010 01:30;194,293;
26.03.2010 01:40;194,293;
26.03.2010 01:50;194,293;
26.03.2010 02:00;194,293;
26.03.2010 02:10;194,293;
26.03.2010 02:20;194,293;
26.03.2010 02:30;194,293;
26.03.2010 02:40;194,293;
26.03.2010 02:50;194,293;
26.03.2010 03:00;194,293;
26.03.2010 03:10;194,293;
26.03.2010 03:20;194,293;
26.03.2010 03:30;194,293;
26.03.2010 03:40;194,293;
26.03.2010 03:50;194,293;
26.03.2010 04:00;194,293;
26.03.2010 04:10;194,293;
26.03.2010 04:20;194,293;
26.03.2010 04:30;194,293;
26.03.2010 04:40;194,293;
26.03.2010 04:50;194,293;
26.03.2010 05:00;194,293;
26.03.2010 05:10;194,293;
26.03.2010 05:20;194,293;
26.03.2010 05:30;194,293;
26.03.2010 05:40;194,293;
26.03.2010 05:50;194,293;
26.03.2010 06:00;194,293;
26.03.2010 06:10;194,293;74,839
26.03.2010 06:20;194,301;74,839
26.03.2010 06:30;194,319;74,839
26.03.2010 06:40;194,346;74,841
26.03.2010 06:50;194,384;74,861
26.03.2010 07:00;194,425;74,875
26.03.2010 07:10;194,476;74,896
26.03.2010 07:20;194,515;74,908
26.03.2010 07:30;194,556;74,924
26.03.2010 07:40;194,616;74,947
26.03.2010 07:50;194,685;74,975
26.03.2010 08:00;194,791;75,019
26.03.2010 08:10;194,943;75,082
26.03.2010 08:20;195,066;75,124
26.03.2010 08:30;195,225;75,201
26.03.2010 08:40;195,404;75,252
26.03.2010 08:50;195,515;75,297
26.03.2010 09:00;195,656;75,350
26.03.2010 09:10;195,782;75,402
26.03.2010 09:20;195,962;75,477
26.03.2010 09:30;196,269;75,616
26.03.2010 09:40;196,654;75,752
26.03.2010 09:50;197,034;75,911
26.03.2010 10:00;197,436;76,066
26.03.2010 10:10;197,806;76,215
26.03.2010 10:20;198,386;76,453
26.03.2010 10:30;199,039;76,706
26.03.2010 10:40;199,686;76,957
26.03.2010 10:50;200,306;77,201
26.03.2010 11:00;200,980;77,462
26.03.2010 11:10;201,456;77,632
26.03.2010 11:20;201,973;77,847
26.03.2010 11:30;202,352;77,972
26.03.2010 11:40;202,650;78,101
26.03.2010 11:50;203,241;78,360
26.03.2010 12:00;204,010;78,652
26.03.2010 12:10;204,741;78,942
26.03.2010 12:20;205,445;79,218
26.03.2010 12:30;206,147;79,490
26.03.2010 12:40;206,769;79,736
26.03.2010 12:50;207,375;79,975
26.03.2010 13:00;208,055;80,244
26.03.2010 13:10;208,725;80,504
26.03.2010 13:20;209,385;80,766
26.03.2010 13:30;210,043;81,023
26.03.2010 13:40;210,689;81,276
26.03.2010 13:50;211,334;81,533
26.03.2010 14:00;211,971;81,778
26.03.2010 14:10;212,525;82,000
26.03.2010 14:20;213,144;82,249
26.03.2010 14:30;213,813;82,506
26.03.2010 14:40;214,291;82,675
26.03.2010 14:50;214,562;82,783
26.03.2010 15:00;214,804;82,874
26.03.2010 15:10;214,991;82,946
26.03.2010 15:20;215,195;83,027
26.03.2010 15:30;215,416;83,118
26.03.2010 15:40;215,652;83,204
26.03.2010 15:50;215,960;83,340
26.03.2010 16:00;216,353;83,489
26.03.2010 16:10;216,672;83,609
26.03.2010 16:20;216,904;83,697
26.03.2010 16:30;217,111;83,779
26.03.2010 16:40;217,313;83,856
26.03.2010 16:50;217,493;83,925
26.03.2010 17:00;217,646;83,983
26.03.2010 17:10;217,744;84,018
26.03.2010 17:20;217,831;84,048
26.03.2010 17:30;217,889;84,068
26.03.2010 17:40;217,912;84,074
26.03.2010 17:50;217,919;84,074
26.03.2010 18:00;217,925;84,074
26.03.2010 18:10;217,928;84,074
26.03.2010 18:20;217,928;84,074
26.03.2010 18:30;217,928;
26.03.2010 18:40;217,928;
26.03.2010 18:50;217,928;
26.03.2010 19:00;217,928;
26.03.2010 19:10;217,928;
26.03.2010 19:20;217,928;
26.03.2010 19:30;217,928;
26.03.2010 19:40;217,928;
26.03.2010 19:50;217,928;
26.03.2010 20:00;217,928;
26.03.2010 20:10;217,928;
26.03.2010 20:20;217,928;
26.03.2010 20:30;217,928;
26.03.2010 20:40;217,928;
26.03.2010 20:50;217,928;
26.03.2010 21:00;217,928;
26.03.2010 21:10;217,928;
26.03.2010 21:20;217,928;
26.03.2010 21:30;217,928;
26.03.2010 21:40;217,928;
26.03.2010 21:50;217,928;
26.03.2010 22:00;217,928;
26.03.2010 22:10;217,928;
26.03.2010 22:20;217,928;
26.03.2010 22:30;217,928;
26.03.2010 22:40;217,928;
26.03.2010 22:50;217,928;
26.03.2010 23:00;217,928;
26.03.2010 23:10;217,928;
26.03.2010 23:20;217,928;
26.03.2010 23:30;217,928;
26.03.2010 23:40;217,928;
26.03.2010 23:50;217,928;
