sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
21.03.2010 00:00;89,721;
21.03.2010 00:10;89,721;
21.03.2010 00:20;89,721;
21.03.2010 00:30;89,721;
21.03.2010 00:40;89,721;
21.03.2010 00:50;89,721;
21.03.2010 01:00;89,721;
21.03.2010 01:10;89,721;
21.03.2010 01:20;89,721;
21.03.2010 01:30;89,721;
21.03.2010 01:40;89,721;
21.03.2010 01:50;89,721;
21.03.2010 02:00;89,721;
21.03.2010 02:10;89,721;
21.03.2010 02:20;89,721;
21.03.2010 02:30;89,721;
21.03.2010 02:40;89,721;
21.03.2010 02:50;89,721;
21.03.2010 03:00;89,721;
21.03.2010 03:10;89,721;
21.03.2010 03:20;89,721;
21.03.2010 03:30;89,721;
21.03.2010 03:40;89,721;
21.03.2010 03:50;89,721;
21.03.2010 04:00;89,721;
21.03.2010 04:10;89,721;
21.03.2010 04:20;89,721;
21.03.2010 04:30;89,721;
21.03.2010 04:40;89,721;
21.03.2010 04:50;89,721;
21.03.2010 05:00;89,721;
21.03.2010 05:10;89,721;
21.03.2010 05:20;89,721;
21.03.2010 05:30;89,721;
21.03.2010 05:40;89,721;
21.03.2010 05:50;89,721;
21.03.2010 06:00;89,721;
21.03.2010 06:10;89,721;
21.03.2010 06:20;89,721;
21.03.2010 06:30;89,721;
21.03.2010 06:40;89,721;34,266
21.03.2010 06:50;89,721;34,266
21.03.2010 07:00;89,721;34,266
21.03.2010 07:10;89,721;34,266
21.03.2010 07:20;89,729;34,266
21.03.2010 07:30;89,738;34,266
21.03.2010 07:40;89,758;34,268
21.03.2010 07:50;89,792;34,280
21.03.2010 08:00;89,814;34,287
21.03.2010 08:10;89,821;34,287
21.03.2010 08:20;89,830;34,287
21.03.2010 08:30;89,840;34,287
21.03.2010 08:40;89,854;34,287
21.03.2010 08:50;89,878;34,292
21.03.2010 09:00;89,963;34,324
21.03.2010 09:10;90,028;34,348
21.03.2010 09:20;90,110;34,383
21.03.2010 09:30;90,213;34,422
21.03.2010 09:40;90,388;34,502
21.03.2010 09:50;90,637;34,590
21.03.2010 10:00;90,781;34,638
21.03.2010 10:10;90,837;34,657
21.03.2010 10:20;90,907;34,686
21.03.2010 10:30;90,984;34,714
21.03.2010 10:40;91,057;34,742
21.03.2010 10:50;91,121;34,765
21.03.2010 11:00;91,183;34,792
21.03.2010 11:10;91,312;34,845
21.03.2010 11:20;91,447;34,892
21.03.2010 11:30;91,526;34,921
21.03.2010 11:40;91,592;34,945
21.03.2010 11:50;91,667;34,974
21.03.2010 12:00;91,731;34,997
21.03.2010 12:10;91,821;35,036
21.03.2010 12:20;91,934;35,077
21.03.2010 12:30;92,024;35,110
21.03.2010 12:40;92,102;35,139
21.03.2010 12:50;92,209;35,186
21.03.2010 13:00;92,354;35,242
21.03.2010 13:10;92,467;35,280
21.03.2010 13:20;92,549;35,312
21.03.2010 13:30;92,669;35,360
21.03.2010 13:40;92,749;35,387
21.03.2010 13:50;92,857;35,430
21.03.2010 14:00;92,957;35,468
21.03.2010 14:10;93,090;35,528
21.03.2010 14:20;93,327;35,620
21.03.2010 14:30;93,487;35,672
21.03.2010 14:40;93,569;35,702
21.03.2010 14:50;93,645;35,730
21.03.2010 15:00;93,737;35,769
21.03.2010 15:10;93,857;35,814
21.03.2010 15:20;93,930;35,839
21.03.2010 15:30;94,030;35,880
21.03.2010 15:40;94,131;35,918
21.03.2010 15:50;94,234;35,957
21.03.2010 16:00;94,326;35,990
21.03.2010 16:10;94,392;36,014
21.03.2010 16:20;94,455;36,038
21.03.2010 16:30;94,514;36,060
21.03.2010 16:40;94,574;36,082
21.03.2010 16:50;94,621;36,100
21.03.2010 17:00;94,665;36,116
21.03.2010 17:10;94,702;36,130
21.03.2010 17:20;94,731;36,140
21.03.2010 17:30;94,754;36,148
21.03.2010 17:40;94,765;36,149
21.03.2010 17:50;94,771;36,149
21.03.2010 18:00;94,774;36,149
21.03.2010 18:10;94,774;36,149
21.03.2010 18:20;94,774;36,149
21.03.2010 18:30;94,774;
21.03.2010 18:40;94,774;
21.03.2010 18:50;94,774;
21.03.2010 19:00;94,774;
21.03.2010 19:10;94,774;
21.03.2010 19:20;94,774;
21.03.2010 19:30;94,774;
21.03.2010 19:40;94,774;
21.03.2010 19:50;94,774;
21.03.2010 20:00;94,774;
21.03.2010 20:10;94,774;
21.03.2010 20:20;94,774;
21.03.2010 20:30;94,774;
21.03.2010 20:40;94,774;
21.03.2010 20:50;94,774;
21.03.2010 21:00;94,774;
21.03.2010 21:10;94,774;
21.03.2010 21:20;94,774;
21.03.2010 21:30;94,774;
21.03.2010 21:40;94,774;
21.03.2010 21:50;94,774;
21.03.2010 22:00;94,774;
21.03.2010 22:10;94,774;
21.03.2010 22:20;94,774;
21.03.2010 22:30;94,774;
21.03.2010 22:40;94,774;
21.03.2010 22:50;94,774;
21.03.2010 23:00;94,774;
21.03.2010 23:10;94,774;
21.03.2010 23:20;94,774;
21.03.2010 23:30;94,774;
21.03.2010 23:40;94,774;
21.03.2010 23:50;94,774;
