sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
20.03.2010 00:00;77,727;
20.03.2010 00:10;77,727;
20.03.2010 00:20;77,727;
20.03.2010 00:30;77,727;
20.03.2010 00:40;77,727;
20.03.2010 00:50;77,727;
20.03.2010 01:00;77,727;
20.03.2010 01:10;77,727;
20.03.2010 01:20;77,727;
20.03.2010 01:30;77,727;
20.03.2010 01:40;77,727;
20.03.2010 01:50;77,727;
20.03.2010 02:00;77,727;
20.03.2010 02:10;77,727;
20.03.2010 02:20;77,727;
20.03.2010 02:30;77,727;
20.03.2010 02:40;77,727;
20.03.2010 02:50;77,727;
20.03.2010 03:00;77,727;
20.03.2010 03:10;77,727;
20.03.2010 03:20;77,727;
20.03.2010 03:30;77,727;
20.03.2010 03:40;77,727;
20.03.2010 03:50;77,727;
20.03.2010 04:00;77,727;
20.03.2010 04:10;77,727;
20.03.2010 04:20;77,727;
20.03.2010 04:30;77,727;
20.03.2010 04:40;77,727;
20.03.2010 04:50;77,727;
20.03.2010 05:00;77,727;
20.03.2010 05:10;77,727;
20.03.2010 05:20;77,727;
20.03.2010 05:30;77,727;
20.03.2010 05:40;77,727;
20.03.2010 05:50;77,727;
20.03.2010 06:00;77,727;
20.03.2010 06:10;77,727;
20.03.2010 06:20;77,727;
20.03.2010 06:30;77,727;
20.03.2010 06:40;77,727;
20.03.2010 06:50;77,727;29,662
20.03.2010 07:00;77,727;29,662
20.03.2010 07:10;77,727;29,662
20.03.2010 07:20;77,732;29,662
20.03.2010 07:30;77,741;29,662
20.03.2010 07:40;77,748;29,662
20.03.2010 07:50;77,759;29,662
20.03.2010 08:00;77,772;29,662
20.03.2010 08:10;77,786;29,662
20.03.2010 08:20;77,801;29,662
20.03.2010 08:30;77,812;29,662
20.03.2010 08:40;77,822;29,662
20.03.2010 08:50;77,838;29,662
20.03.2010 09:00;77,859;29,663
20.03.2010 09:10;77,890;29,674
20.03.2010 09:20;77,940;29,692
20.03.2010 09:30;78,017;29,720
20.03.2010 09:40;78,075;29,743
20.03.2010 09:50;78,134;29,765
20.03.2010 10:00;78,187;29,784
20.03.2010 10:10;78,259;29,812
20.03.2010 10:20;78,319;29,833
20.03.2010 10:30;78,394;29,862
20.03.2010 10:40;78,442;29,881
20.03.2010 10:50;78,512;29,906
20.03.2010 11:00;78,610;29,941
20.03.2010 11:10;78,883;30,031
20.03.2010 11:20;79,308;30,192
20.03.2010 11:30;79,693;30,348
20.03.2010 11:40;80,030;30,483
20.03.2010 11:50;80,322;30,598
20.03.2010 12:00;80,739;30,737
20.03.2010 12:10;81,447;31,014
20.03.2010 12:20;82,100;31,267
20.03.2010 12:30;82,766;31,527
20.03.2010 12:40;83,348;31,745
20.03.2010 12:50;83,899;31,985
20.03.2010 13:00;84,017;32,047
20.03.2010 13:10;84,147;32,092
20.03.2010 13:20;84,553;32,217
20.03.2010 13:30;84,922;32,393
20.03.2010 13:40;85,262;32,515
20.03.2010 13:50;85,824;32,741
20.03.2010 14:00;86,420;32,939
20.03.2010 14:10;86,631;33,059
20.03.2010 14:20;86,859;33,143
20.03.2010 14:30;87,073;33,232
20.03.2010 14:40;87,275;33,293
20.03.2010 14:50;87,502;33,401
20.03.2010 15:00;87,625;33,447
20.03.2010 15:10;87,942;33,538
20.03.2010 15:20;88,272;33,678
20.03.2010 15:30;88,611;33,804
20.03.2010 15:40;88,956;33,962
20.03.2010 15:50;89,143;34,023
20.03.2010 16:00;89,355;34,120
20.03.2010 16:10;89,482;34,173
20.03.2010 16:20;89,559;34,204
20.03.2010 16:30;89,633;34,233
20.03.2010 16:40;89,664;34,247
20.03.2010 16:50;89,684;34,255
20.03.2010 17:00;89,709;34,264
20.03.2010 17:10;89,716;34,266
20.03.2010 17:20;89,720;34,266
20.03.2010 17:30;89,721;34,266
20.03.2010 17:40;89,721;34,266
20.03.2010 17:50;89,721;34,266
20.03.2010 18:00;89,721;34,266
20.03.2010 18:10;89,721;34,266
20.03.2010 18:20;89,721;34,266
20.03.2010 18:30;89,721;
20.03.2010 18:40;89,721;
20.03.2010 18:50;89,721;
20.03.2010 19:00;89,721;
20.03.2010 19:10;89,721;
20.03.2010 19:20;89,721;
20.03.2010 19:30;89,721;
20.03.2010 19:40;89,721;
20.03.2010 19:50;89,721;
20.03.2010 20:00;89,721;
20.03.2010 20:10;89,721;
20.03.2010 20:20;89,721;
20.03.2010 20:30;89,721;
20.03.2010 20:40;89,721;
20.03.2010 20:50;89,721;
20.03.2010 21:00;89,721;
20.03.2010 21:10;89,721;
20.03.2010 21:20;89,721;
20.03.2010 21:30;89,721;
20.03.2010 21:40;89,721;
20.03.2010 21:50;89,721;
20.03.2010 22:00;89,721;
20.03.2010 22:10;89,721;
20.03.2010 22:20;89,721;
20.03.2010 22:30;89,721;
20.03.2010 22:40;89,721;
20.03.2010 22:50;89,721;
20.03.2010 23:00;89,721;
20.03.2010 23:10;89,721;
20.03.2010 23:20;89,721;
20.03.2010 23:30;89,721;
20.03.2010 23:40;89,721;
20.03.2010 23:50;89,721;
