sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
19.03.2010 00:00;66,501;
19.03.2010 00:10;66,501;
19.03.2010 00:20;66,501;
19.03.2010 00:30;66,501;
19.03.2010 00:40;66,501;
19.03.2010 00:50;66,501;
19.03.2010 01:00;66,501;
19.03.2010 01:10;66,501;
19.03.2010 01:20;66,501;
19.03.2010 01:30;66,501;
19.03.2010 01:40;66,501;
19.03.2010 01:50;66,501;
19.03.2010 02:00;66,501;
19.03.2010 02:10;66,501;
19.03.2010 02:20;66,501;
19.03.2010 02:30;66,501;
19.03.2010 02:40;66,501;
19.03.2010 02:50;66,501;
19.03.2010 03:00;66,501;
19.03.2010 03:10;66,501;
19.03.2010 03:20;66,501;
19.03.2010 03:30;66,501;
19.03.2010 03:40;66,501;
19.03.2010 03:50;66,501;
19.03.2010 04:00;66,501;
19.03.2010 04:10;66,501;
19.03.2010 04:20;66,501;
19.03.2010 04:30;66,501;
19.03.2010 04:40;66,501;
19.03.2010 04:50;66,501;
19.03.2010 05:00;66,501;
19.03.2010 05:10;66,501;
19.03.2010 05:20;66,501;
19.03.2010 05:30;66,501;
19.03.2010 05:40;66,501;
19.03.2010 05:50;66,501;
19.03.2010 06:00;66,501;
19.03.2010 06:10;66,501;
19.03.2010 06:20;66,501;
19.03.2010 06:30;66,501;25,345
19.03.2010 06:40;66,505;25,345
19.03.2010 06:50;66,517;25,345
19.03.2010 07:00;66,536;25,345
19.03.2010 07:10;66,564;25,350
19.03.2010 07:20;66,604;25,364
19.03.2010 07:30;66,654;25,382
19.03.2010 07:40;66,723;25,402
19.03.2010 07:50;66,810;25,432
19.03.2010 08:00;66,907;25,470
19.03.2010 08:10;67,001;25,506
19.03.2010 08:20;67,085;25,534
19.03.2010 08:30;67,163;25,564
19.03.2010 08:40;67,291;25,602
19.03.2010 08:50;67,535;25,690
19.03.2010 09:00;67,897;25,818
19.03.2010 09:10;68,297;25,976
19.03.2010 09:20;68,654;26,119
19.03.2010 09:30;69,051;26,258
19.03.2010 09:40;69,548;26,448
19.03.2010 09:50;70,094;26,653
19.03.2010 10:00;70,599;26,868
19.03.2010 10:10;71,262;27,097
19.03.2010 10:20;71,632;27,276
19.03.2010 10:30;71,940;27,393
19.03.2010 10:40;72,215;27,504
19.03.2010 10:50;72,572;27,634
19.03.2010 11:00;72,827;27,746
19.03.2010 11:10;73,018;27,825
19.03.2010 11:20;73,197;27,895
19.03.2010 11:30;73,383;27,966
19.03.2010 11:40;73,578;28,041
19.03.2010 11:50;73,776;28,122
19.03.2010 12:00;73,888;28,170
19.03.2010 12:10;73,991;28,209
19.03.2010 12:20;74,123;28,254
19.03.2010 12:30;74,359;28,332
19.03.2010 12:40;74,610;28,442
19.03.2010 12:50;74,748;28,503
19.03.2010 13:00;74,831;28,537
19.03.2010 13:10;74,940;28,575
19.03.2010 13:20;75,091;28,629
19.03.2010 13:30;75,328;28,714
19.03.2010 13:40;75,574;28,813
19.03.2010 13:50;75,726;28,881
19.03.2010 14:00;75,817;28,920
19.03.2010 14:10;75,883;28,949
19.03.2010 14:20;75,951;28,972
19.03.2010 14:30;76,026;29,002
19.03.2010 14:40;76,085;29,025
19.03.2010 14:50;76,136;29,046
19.03.2010 15:00;76,184;29,064
19.03.2010 15:10;76,263;29,088
19.03.2010 15:20;76,413;29,132
19.03.2010 15:30;76,572;29,204
19.03.2010 15:40;76,721;29,262
19.03.2010 15:50;76,866;29,315
19.03.2010 16:00;77,031;29,380
19.03.2010 16:10;77,206;29,451
19.03.2010 16:20;77,332;29,503
19.03.2010 16:30;77,408;29,535
19.03.2010 16:40;77,458;29,556
19.03.2010 16:50;77,506;29,574
19.03.2010 17:00;77,557;29,593
19.03.2010 17:10;77,611;29,614
19.03.2010 17:20;77,654;29,631
19.03.2010 17:30;77,696;29,648
19.03.2010 17:40;77,721;29,660
19.03.2010 17:50;77,725;29,662
19.03.2010 18:00;77,727;29,662
19.03.2010 18:10;77,727;29,662
19.03.2010 18:20;77,727;29,662
19.03.2010 18:30;77,727;
19.03.2010 18:40;77,727;
19.03.2010 18:50;77,727;
19.03.2010 19:00;77,727;
19.03.2010 19:10;77,727;
19.03.2010 19:20;77,727;
19.03.2010 19:30;77,727;
19.03.2010 19:40;77,727;
19.03.2010 19:50;77,727;
19.03.2010 20:00;77,727;
19.03.2010 20:10;77,727;
19.03.2010 20:20;77,727;
19.03.2010 20:30;77,727;
19.03.2010 20:40;77,727;
19.03.2010 20:50;77,727;
19.03.2010 21:00;77,727;
19.03.2010 21:10;77,727;
19.03.2010 21:20;77,727;
19.03.2010 21:30;77,727;
19.03.2010 21:40;77,727;
19.03.2010 21:50;77,727;
19.03.2010 22:00;77,727;
19.03.2010 22:10;77,727;
19.03.2010 22:20;77,727;
19.03.2010 22:30;77,727;
19.03.2010 22:40;77,727;
19.03.2010 22:50;77,727;
19.03.2010 23:00;77,727;
19.03.2010 23:10;77,727;
19.03.2010 23:20;77,727;
19.03.2010 23:30;77,727;
19.03.2010 23:40;77,727;
19.03.2010 23:50;77,727;
