sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
14.03.2010 00:00;5,768;
14.03.2010 00:10;5,768;
14.03.2010 00:20;5,768;
14.03.2010 00:30;5,768;
14.03.2010 00:40;5,768;
14.03.2010 00:50;5,768;
14.03.2010 01:00;5,768;
14.03.2010 01:10;5,768;
14.03.2010 01:20;5,768;
14.03.2010 01:30;5,768;
14.03.2010 01:40;5,768;
14.03.2010 01:50;5,768;
14.03.2010 02:00;5,768;
14.03.2010 02:10;5,768;
14.03.2010 02:20;5,768;
14.03.2010 02:30;5,768;
14.03.2010 02:40;5,768;
14.03.2010 02:50;5,768;
14.03.2010 03:00;5,768;
14.03.2010 03:10;5,768;
14.03.2010 03:20;5,768;
14.03.2010 03:30;5,768;
14.03.2010 03:40;5,768;
14.03.2010 03:50;5,768;
14.03.2010 04:00;5,768;
14.03.2010 04:10;5,768;
14.03.2010 04:20;5,768;
14.03.2010 04:30;5,768;
14.03.2010 04:40;5,768;
14.03.2010 04:50;5,768;
14.03.2010 05:00;5,768;
14.03.2010 05:10;5,768;
14.03.2010 05:20;5,768;
14.03.2010 05:30;5,768;
14.03.2010 05:40;5,768;
14.03.2010 05:50;5,768;
14.03.2010 06:00;5,768;
14.03.2010 06:10;5,768;
14.03.2010 06:20;5,768;
14.03.2010 06:30;5,768;
14.03.2010 06:40;5,768;
14.03.2010 06:50;5,768;2,036
14.03.2010 07:00;5,774;2,036
14.03.2010 07:10;5,780;2,036
14.03.2010 07:20;5,784;2,036
14.03.2010 07:30;5,788;2,036
14.03.2010 07:40;5,792;2,036
14.03.2010 07:50;5,803;2,036
14.03.2010 08:00;5,827;2,040
14.03.2010 08:10;5,860;2,052
14.03.2010 08:20;5,922;2,074
14.03.2010 08:30;5,976;2,096
14.03.2010 08:40;5,994;2,101
14.03.2010 08:50;6,004;2,101
14.03.2010 09:00;6,021;2,101
14.03.2010 09:10;6,053;2,113
14.03.2010 09:20;6,084;2,124
14.03.2010 09:30;6,138;2,144
14.03.2010 09:40;6,196;2,166
14.03.2010 09:50;6,267;2,192
14.03.2010 10:00;6,318;2,212
14.03.2010 10:10;6,360;2,228
14.03.2010 10:20;6,419;2,250
14.03.2010 10:30;6,475;2,271
14.03.2010 10:40;6,516;2,287
14.03.2010 10:50;6,584;2,312
14.03.2010 11:00;6,642;2,334
14.03.2010 11:10;6,706;2,357
14.03.2010 11:20;6,836;2,405
14.03.2010 11:30;7,046;2,482
14.03.2010 11:40;7,248;2,565
14.03.2010 11:50;7,341;2,598
14.03.2010 12:00;7,571;2,684
14.03.2010 12:10;7,789;2,771
14.03.2010 12:20;7,912;2,820
14.03.2010 12:30;7,999;2,853
14.03.2010 12:40;8,073;2,880
14.03.2010 12:50;8,319;2,972
14.03.2010 13:00;8,486;3,040
14.03.2010 13:10;8,583;3,077
14.03.2010 13:20;8,778;3,146
14.03.2010 13:30;9,035;3,251
14.03.2010 13:40;9,107;3,280
14.03.2010 13:50;9,191;3,312
14.03.2010 14:00;9,238;3,330
14.03.2010 14:10;9,369;3,366
14.03.2010 14:20;9,807;3,543
14.03.2010 14:30;10,033;3,633
14.03.2010 14:40;10,123;3,672
14.03.2010 14:50;10,263;3,723
14.03.2010 15:00;10,424;3,783
14.03.2010 15:10;10,537;3,830
14.03.2010 15:20;10,585;3,849
14.03.2010 15:30;10,638;3,869
14.03.2010 15:40;10,726;3,903
14.03.2010 15:50;10,746;3,911
14.03.2010 16:00;10,795;3,928
14.03.2010 16:10;10,848;3,947
14.03.2010 16:20;10,902;3,969
14.03.2010 16:30;10,942;3,983
14.03.2010 16:40;10,987;4,001
14.03.2010 16:50;11,016;4,012
14.03.2010 17:00;11,035;4,016
14.03.2010 17:10;11,055;4,016
14.03.2010 17:20;11,071;4,016
14.03.2010 17:30;11,080;4,016
14.03.2010 17:40;11,084;4,016
14.03.2010 17:50;11,085;4,016
14.03.2010 18:00;11,085;4,016
14.03.2010 18:10;11,085;
14.03.2010 18:20;11,085;
14.03.2010 18:30;11,085;
14.03.2010 18:40;11,085;
14.03.2010 18:50;11,085;
14.03.2010 19:00;11,085;
14.03.2010 19:10;11,085;
14.03.2010 19:20;11,085;
14.03.2010 19:30;11,085;
14.03.2010 19:40;11,085;
14.03.2010 19:50;11,085;
14.03.2010 20:00;11,085;
14.03.2010 20:10;11,085;
14.03.2010 20:20;11,085;
14.03.2010 20:30;11,085;
14.03.2010 20:40;11,085;
14.03.2010 20:50;11,085;
14.03.2010 21:00;11,085;
14.03.2010 21:10;11,085;
14.03.2010 21:20;11,085;
14.03.2010 21:30;11,085;
14.03.2010 21:40;11,085;
14.03.2010 21:50;11,085;
14.03.2010 22:00;11,085;
14.03.2010 22:10;11,085;
14.03.2010 22:20;11,085;
14.03.2010 22:30;11,085;
14.03.2010 22:40;11,085;
14.03.2010 22:50;11,085;
14.03.2010 23:00;11,085;
14.03.2010 23:10;11,085;
14.03.2010 23:20;11,085;
14.03.2010 23:30;11,085;
14.03.2010 23:40;11,085;
14.03.2010 23:50;11,085;
