sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
24.03.2010 00:00;143,491;
24.03.2010 00:10;143,491;
24.03.2010 00:20;143,491;
24.03.2010 00:30;143,491;
24.03.2010 00:40;143,491;
24.03.2010 00:50;143,491;
24.03.2010 01:00;143,491;
24.03.2010 01:10;143,491;
24.03.2010 01:20;143,491;
24.03.2010 01:30;143,491;
24.03.2010 01:40;143,491;
24.03.2010 01:50;143,491;
24.03.2010 02:00;143,491;
24.03.2010 02:10;143,491;
24.03.2010 02:20;143,491;
24.03.2010 02:30;143,491;
24.03.2010 02:40;143,491;
24.03.2010 02:50;143,491;
24.03.2010 03:00;143,491;
24.03.2010 03:10;143,491;
24.03.2010 03:20;143,491;
24.03.2010 03:30;143,491;
24.03.2010 03:40;143,491;
24.03.2010 03:50;143,491;
24.03.2010 04:00;143,491;
24.03.2010 04:10;143,491;
24.03.2010 04:20;143,491;
24.03.2010 04:30;143,491;
24.03.2010 04:40;143,491;
24.03.2010 04:50;143,491;
24.03.2010 05:00;143,491;
24.03.2010 05:10;143,491;
24.03.2010 05:20;143,491;
24.03.2010 05:30;143,491;
24.03.2010 05:40;143,491;
24.03.2010 05:50;143,491;
24.03.2010 06:00;143,491;
24.03.2010 06:10;143,491;
24.03.2010 06:20;143,491;55,029
24.03.2010 06:30;143,492;55,029
24.03.2010 06:40;143,502;55,029
24.03.2010 06:50;143,521;55,029
24.03.2010 07:00;143,553;55,038
24.03.2010 07:10;143,600;55,055
24.03.2010 07:20;143,660;55,077
24.03.2010 07:30;143,743;55,108
24.03.2010 07:40;143,872;55,156
24.03.2010 07:50;144,045;55,221
24.03.2010 08:00;144,189;55,277
24.03.2010 08:10;144,330;55,330
24.03.2010 08:20;144,517;55,401
24.03.2010 08:30;144,761;55,492
24.03.2010 08:40;145,093;55,617
24.03.2010 08:50;145,481;55,767
24.03.2010 09:00;145,841;55,908
24.03.2010 09:10;146,187;56,041
24.03.2010 09:20;146,542;56,177
24.03.2010 09:30;146,961;56,339
24.03.2010 09:40;147,369;56,499
24.03.2010 09:50;147,822;56,675
24.03.2010 10:00;148,176;56,815
24.03.2010 10:10;148,644;56,993
24.03.2010 10:20;149,071;57,161
24.03.2010 10:30;149,531;57,340
24.03.2010 10:40;150,022;57,532
24.03.2010 10:50;150,579;57,748
24.03.2010 11:00;151,184;57,983
24.03.2010 11:10;151,734;58,198
24.03.2010 11:20;152,336;58,437
24.03.2010 11:30;152,964;58,685
24.03.2010 11:40;153,522;58,901
24.03.2010 11:50;154,143;59,147
24.03.2010 12:00;154,655;59,349
24.03.2010 12:10;155,151;59,547
24.03.2010 12:20;155,666;59,743
24.03.2010 12:30;156,295;59,987
24.03.2010 12:40;156,876;60,218
24.03.2010 12:50;157,423;60,434
24.03.2010 13:00;157,935;60,638
24.03.2010 13:10;158,450;60,837
24.03.2010 13:20;159,002;61,055
24.03.2010 13:30;159,490;61,247
24.03.2010 13:40;159,888;61,411
24.03.2010 13:50;160,254;61,553
24.03.2010 14:00;160,656;61,709
24.03.2010 14:10;161,099;61,883
24.03.2010 14:20;161,512;62,046
24.03.2010 14:30;161,915;62,205
24.03.2010 14:40;162,285;62,352
24.03.2010 14:50;162,662;62,499
24.03.2010 15:00;162,992;62,632
24.03.2010 15:10;163,234;62,729
24.03.2010 15:20;163,432;62,807
24.03.2010 15:30;163,627;62,883
24.03.2010 15:40;163,815;62,956
24.03.2010 15:50;164,011;63,033
24.03.2010 16:00;164,208;63,109
24.03.2010 16:10;164,406;63,186
24.03.2010 16:20;164,567;63,251
24.03.2010 16:30;164,688;63,298
24.03.2010 16:40;164,796;63,340
24.03.2010 16:50;164,891;63,377
24.03.2010 17:00;164,987;63,414
24.03.2010 17:10;165,066;63,445
24.03.2010 17:20;165,128;63,469
24.03.2010 17:30;165,181;63,489
24.03.2010 17:40;165,220;63,505
24.03.2010 17:50;165,246;63,515
24.03.2010 18:00;165,263;63,521
24.03.2010 18:10;165,272;63,522
24.03.2010 18:20;165,274;63,522
24.03.2010 18:30;165,274;63,522
24.03.2010 18:40;165,274;
24.03.2010 18:50;165,274;
24.03.2010 19:00;165,274;
24.03.2010 19:10;165,274;
24.03.2010 19:20;165,274;
24.03.2010 19:30;165,274;
24.03.2010 19:40;165,274;
24.03.2010 19:50;165,274;
24.03.2010 20:00;165,274;
24.03.2010 20:10;165,274;
24.03.2010 20:20;165,274;
24.03.2010 20:30;165,274;
24.03.2010 20:40;165,274;
24.03.2010 20:50;165,274;
24.03.2010 21:00;165,274;
24.03.2010 21:10;165,274;
24.03.2010 21:20;165,274;
24.03.2010 21:30;165,274;
24.03.2010 21:40;165,274;
24.03.2010 21:50;165,274;
24.03.2010 22:00;165,274;
24.03.2010 22:10;165,274;
24.03.2010 22:20;165,274;
24.03.2010 22:30;165,274;
24.03.2010 22:40;165,274;
24.03.2010 22:50;165,274;
24.03.2010 23:00;165,274;
24.03.2010 23:10;165,274;
24.03.2010 23:20;165,274;
24.03.2010 23:30;165,274;
24.03.2010 23:40;165,274;
24.03.2010 23:50;165,274;
