sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
16.03.2010 00:00;21,986;
16.03.2010 00:10;21,986;
16.03.2010 00:20;21,986;
16.03.2010 00:30;21,986;
16.03.2010 00:40;21,986;
16.03.2010 00:50;21,986;
16.03.2010 01:00;21,986;
16.03.2010 01:10;21,986;
16.03.2010 01:20;21,986;
16.03.2010 01:30;21,986;
16.03.2010 01:40;21,986;
16.03.2010 01:50;21,986;
16.03.2010 02:00;21,986;
16.03.2010 02:10;21,986;
16.03.2010 02:20;21,986;
16.03.2010 02:30;21,986;
16.03.2010 02:40;21,986;
16.03.2010 02:50;21,986;
16.03.2010 03:00;21,986;
16.03.2010 03:10;21,986;
16.03.2010 03:20;21,986;
16.03.2010 03:30;21,986;
16.03.2010 03:40;21,986;
16.03.2010 03:50;21,986;
16.03.2010 04:00;21,986;
16.03.2010 04:10;21,986;
16.03.2010 04:20;21,986;
16.03.2010 04:30;21,986;
16.03.2010 04:40;21,986;
16.03.2010 04:50;21,986;
16.03.2010 05:00;21,986;
16.03.2010 05:10;21,986;
16.03.2010 05:20;21,986;
16.03.2010 05:30;21,986;
16.03.2010 05:40;21,986;
16.03.2010 05:50;21,986;
16.03.2010 06:00;21,986;
16.03.2010 06:10;21,986;
16.03.2010 06:20;21,986;
16.03.2010 06:30;21,986;
16.03.2010 06:40;21,987;8,192
16.03.2010 06:50;21,993;8,192
16.03.2010 07:00;22,000;8,192
16.03.2010 07:10;22,014;8,192
16.03.2010 07:20;22,059;8,192
16.03.2010 07:30;22,101;8,207
16.03.2010 07:40;22,245;8,256
16.03.2010 07:50;22,390;8,315
16.03.2010 08:00;22,506;8,358
16.03.2010 08:10;22,771;8,455
16.03.2010 08:20;22,928;8,520
16.03.2010 08:30;23,024;8,557
16.03.2010 08:40;23,112;8,590
16.03.2010 08:50;23,222;8,632
16.03.2010 09:00;23,306;8,663
16.03.2010 09:10;23,391;8,695
16.03.2010 09:20;23,489;8,733
16.03.2010 09:30;23,566;8,762
16.03.2010 09:40;23,637;8,789
16.03.2010 09:50;23,736;8,825
16.03.2010 10:00;23,887;8,882
16.03.2010 10:10;24,036;8,939
16.03.2010 10:20;24,208;9,004
16.03.2010 10:30;24,354;9,061
16.03.2010 10:40;24,490;9,113
16.03.2010 10:50;24,652;9,173
16.03.2010 11:00;24,852;9,247
16.03.2010 11:10;25,214;9,383
16.03.2010 11:20;25,506;9,499
16.03.2010 11:30;25,741;9,592
16.03.2010 11:40;25,842;9,634
16.03.2010 11:50;25,930;9,665
16.03.2010 12:00;26,274;9,794
16.03.2010 12:10;26,732;9,969
16.03.2010 12:20;26,936;10,052
16.03.2010 12:30;27,608;10,303
16.03.2010 12:40;28,053;10,502
16.03.2010 12:50;28,144;10,539
16.03.2010 13:00;28,227;10,566
16.03.2010 13:10;28,371;10,618
16.03.2010 13:20;28,488;10,667
16.03.2010 13:30;28,585;10,704
16.03.2010 13:40;28,666;10,735
16.03.2010 13:50;28,721;10,757
16.03.2010 14:00;28,848;10,800
16.03.2010 14:10;28,999;10,860
16.03.2010 14:20;29,139;10,915
16.03.2010 14:30;29,256;10,961
16.03.2010 14:40;29,329;10,991
16.03.2010 14:50;29,385;11,012
16.03.2010 15:00;29,435;11,030
16.03.2010 15:10;29,475;11,047
16.03.2010 15:20;29,497;11,055
16.03.2010 15:30;29,516;11,062
16.03.2010 15:40;29,538;11,068
16.03.2010 15:50;29,562;11,078
16.03.2010 16:00;29,575;11,081
16.03.2010 16:10;29,586;11,081
16.03.2010 16:20;29,614;11,081
16.03.2010 16:30;29,642;11,088
16.03.2010 16:40;29,662;11,096
16.03.2010 16:50;29,672;11,098
16.03.2010 17:00;29,678;11,098
16.03.2010 17:10;29,679;11,098
16.03.2010 17:20;29,679;11,098
16.03.2010 17:30;29,679;11,098
16.03.2010 17:40;29,680;11,098
16.03.2010 17:50;29,680;11,098
16.03.2010 18:00;29,680;11,098
16.03.2010 18:10;29,680;
16.03.2010 18:20;29,680;
16.03.2010 18:30;29,680;
16.03.2010 18:40;29,680;
16.03.2010 18:50;29,680;
16.03.2010 19:00;29,680;
16.03.2010 19:10;29,680;
16.03.2010 19:20;29,680;
16.03.2010 19:30;29,680;
16.03.2010 19:40;29,680;
16.03.2010 19:50;29,680;
16.03.2010 20:00;29,680;
16.03.2010 20:10;29,680;
16.03.2010 20:20;29,680;
16.03.2010 20:30;29,680;
16.03.2010 20:40;29,680;
16.03.2010 20:50;29,680;
16.03.2010 21:00;29,680;
16.03.2010 21:10;29,680;
16.03.2010 21:20;29,680;
16.03.2010 21:30;29,680;
16.03.2010 21:40;29,680;
16.03.2010 21:50;29,680;
16.03.2010 22:00;29,680;
16.03.2010 22:10;29,680;
16.03.2010 22:20;29,680;
16.03.2010 22:30;29,680;
16.03.2010 22:40;29,680;
16.03.2010 22:50;29,680;
16.03.2010 23:00;29,680;
16.03.2010 23:10;29,680;
16.03.2010 23:20;29,680;
16.03.2010 23:30;29,680;
16.03.2010 23:40;29,680;
16.03.2010 23:50;29,680;
