sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD-MM-YYYY HH:mm;kWh;kWh
28-03-2010 00:00;228,372;
28-03-2010 00:10;228,372;
28-03-2010 00:20;228,372;
28-03-2010 00:30;228,372;
28-03-2010 00:40;228,372;
28-03-2010 00:50;228,372;
28-03-2010 01:00;228,372;
28-03-2010 01:10;228,372;
28-03-2010 01:20;228,372;
28-03-2010 01:30;228,372;
28-03-2010 01:40;228,372;
28-03-2010 01:50;228,372;
28-03-2010 02:00;228,372;
28-03-2010 02:10;228,372;
28-03-2010 02:20;228,372;
28-03-2010 02:30;228,372;
28-03-2010 02:40;228,372;
28-03-2010 02:50;228,372;
28-03-2010 03:00;228,372;
28-03-2010 03:10;228,372;
28-03-2010 03:20;228,372;
28-03-2010 03:30;228,372;
28-03-2010 03:40;228,372;
28-03-2010 03:50;228,372;
28-03-2010 04:00;228,372;
28-03-2010 04:10;228,372;
28-03-2010 04:20;228,372;
28-03-2010 04:30;228,372;
28-03-2010 04:40;228,372;
28-03-2010 04:50;228,372;
28-03-2010 05:00;228,372;
28-03-2010 05:10;228,372;
28-03-2010 05:20;228,372;
28-03-2010 05:30;228,372;
28-03-2010 05:40;228,372;
28-03-2010 05:50;228,372;
28-03-2010 06:00;228,372;
28-03-2010 06:10;228,372;
28-03-2010 06:20;228,372;
28-03-2010 06:30;228,372;
28-03-2010 06:40;228,372;88,086
28-03-2010 06:50;228,373;88,086
28-03-2010 07:00;228,386;88,086
28-03-2010 07:10;228,409;88,086
28-03-2010 07:20;228,446;88,098
28-03-2010 07:30;228,477;88,111
28-03-2010 07:40;228,512;88,123
28-03-2010 07:50;228,538;88,132
28-03-2010 08:00;228,621;88,158
28-03-2010 08:10;228,692;88,191
28-03-2010 08:20;228,734;88,205
28-03-2010 08:30;228,800;88,227
28-03-2010 08:40;228,892;88,263
28-03-2010 08:50;229,007;88,301
28-03-2010 09:00;229,193;88,371
28-03-2010 09:10;229,328;88,427
28-03-2010 09:20;229,520;88,493
28-03-2010 09:30;229,713;88,573
28-03-2010 09:40;229,835;88,624
28-03-2010 09:50;229,917;88,657
28-03-2010 10:00;230,006;88,687
28-03-2010 10:10;230,127;88,733
28-03-2010 10:20;230,222;88,773
28-03-2010 10:30;230,254;88,788
28-03-2010 10:40;230,303;88,804
28-03-2010 10:50;230,379;88,831
28-03-2010 11:00;230,460;88,863
28-03-2010 11:10;230,557;88,893
28-03-2010 11:20;230,681;88,946
28-03-2010 11:30;230,773;88,978
28-03-2010 11:40;230,881;89,019
28-03-2010 11:50;230,966;89,057
28-03-2010 12:00;231,044;89,081
28-03-2010 12:10;231,198;89,141
28-03-2010 12:20;231,258;89,171
28-03-2010 12:30;231,336;89,191
28-03-2010 12:40;231,671;89,295
28-03-2010 12:50;232,149;89,470
28-03-2010 13:00;232,849;89,767
28-03-2010 13:10;233,304;89,980
28-03-2010 13:20;233,390;90,026
28-03-2010 13:30;233,441;90,044
28-03-2010 13:40;;
28-03-2010 13:50;;
28-03-2010 14:00;;
28-03-2010 14:10;;
28-03-2010 14:20;;
28-03-2010 14:30;;
28-03-2010 14:40;234,958;90,634
28-03-2010 14:50;235,035;90,634
28-03-2010 15:00;235,669;90,828
28-03-2010 15:10;236,029;90,995
28-03-2010 15:20;236,243;91,081
28-03-2010 15:30;236,495;91,182
28-03-2010 15:40;236,657;91,251
28-03-2010 15:50;236,943;91,366
28-03-2010 16:00;237,051;91,400
28-03-2010 16:10;237,266;91,493
28-03-2010 16:20;237,370;91,531
28-03-2010 16:30;237,474;91,570
28-03-2010 16:40;237,561;91,600
28-03-2010 16:50;237,660;91,630
28-03-2010 17:00;237,742;91,672
28-03-2010 17:10;237,767;91,685
28-03-2010 17:20;237,802;91,696
28-03-2010 17:30;237,838;91,711
28-03-2010 17:40;237,860;91,720
28-03-2010 17:50;237,875;91,723
28-03-2010 18:00;237,884;91,723
28-03-2010 18:10;237,886;91,723
28-03-2010 18:20;237,886;
28-03-2010 18:30;237,886;
28-03-2010 18:40;237,886;
28-03-2010 18:50;237,886;
28-03-2010 19:00;237,886;
28-03-2010 19:10;237,886;
28-03-2010 19:20;237,886;
28-03-2010 19:30;237,886;
28-03-2010 19:40;237,886;
28-03-2010 19:50;237,886;
28-03-2010 20:00;237,886;
28-03-2010 20:10;237,886;
28-03-2010 20:20;237,886;
28-03-2010 20:30;237,886;
28-03-2010 20:40;237,886;
28-03-2010 20:50;237,886;
28-03-2010 21:00;237,886;
28-03-2010 21:10;237,886;
28-03-2010 21:20;237,886;
28-03-2010 21:30;237,886;
28-03-2010 21:40;237,886;
28-03-2010 21:50;237,886;
28-03-2010 22:00;237,886;
28-03-2010 22:10;237,886;
28-03-2010 22:20;237,886;
28-03-2010 22:30;237,886;
28-03-2010 22:40;237,886;
28-03-2010 22:50;237,886;
28-03-2010 23:00;237,886;
28-03-2010 23:10;237,886;
28-03-2010 23:20;237,886;
28-03-2010 23:30;237,886;
28-03-2010 23:40;237,886;
28-03-2010 23:50;237,886;
