sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
15.03.2010 00:00;11,085;
15.03.2010 00:10;11,085;
15.03.2010 00:20;11,085;
15.03.2010 00:30;11,085;
15.03.2010 00:40;11,085;
15.03.2010 00:50;11,085;
15.03.2010 01:00;11,085;
15.03.2010 01:10;11,085;
15.03.2010 01:20;11,085;
15.03.2010 01:30;11,085;
15.03.2010 01:40;11,085;
15.03.2010 01:50;11,085;
15.03.2010 02:00;11,085;
15.03.2010 02:10;11,085;
15.03.2010 02:20;11,085;
15.03.2010 02:30;11,085;
15.03.2010 02:40;11,085;
15.03.2010 02:50;11,085;
15.03.2010 03:00;11,085;
15.03.2010 03:10;11,085;
15.03.2010 03:20;11,085;
15.03.2010 03:30;11,085;
15.03.2010 03:40;11,085;
15.03.2010 03:50;11,085;
15.03.2010 04:00;11,085;
15.03.2010 04:10;11,085;
15.03.2010 04:20;11,085;
15.03.2010 04:30;11,085;
15.03.2010 04:40;11,085;
15.03.2010 04:50;11,085;
15.03.2010 05:00;11,085;
15.03.2010 05:10;11,085;
15.03.2010 05:20;11,085;
15.03.2010 05:30;11,085;
15.03.2010 05:40;11,085;
15.03.2010 05:50;11,085;
15.03.2010 06:00;11,085;
15.03.2010 06:10;11,085;
15.03.2010 06:20;11,085;
15.03.2010 06:30;11,085;
15.03.2010 06:40;11,085;
15.03.2010 06:50;11,085;4,016
15.03.2010 07:00;11,088;4,016
15.03.2010 07:10;11,099;4,016
15.03.2010 07:20;11,117;4,016
15.03.2010 07:30;11,140;4,016
15.03.2010 07:40;11,179;4,029
15.03.2010 07:50;11,248;4,047
15.03.2010 08:00;11,509;4,131
15.03.2010 08:10;11,818;
15.03.2010 08:20;12,152;4,374
15.03.2010 08:30;12,525;4,587
15.03.2010 08:40;12,953;4,670
15.03.2010 08:50;13,422;4,848
15.03.2010 09:00;13,917;5,035
15.03.2010 09:10;14,384;
15.03.2010 09:20;14,703;5,406
15.03.2010 09:30;14,857;5,433
15.03.2010 09:40;15,033;
15.03.2010 09:50;15,154;5,550
15.03.2010 10:00;15,279;5,596
15.03.2010 10:10;15,334;5,630
15.03.2010 10:20;15,370;5,634
15.03.2010 10:30;15,927;
15.03.2010 10:40;16,675;6,219
15.03.2010 10:50;17,230;6,323
15.03.2010 11:00;17,582;6,519
15.03.2010 11:10;17,908;6,610
15.03.2010 11:20;18,528;6,928
15.03.2010 11:30;18,798;6,965
15.03.2010 11:40;19,039;
15.03.2010 11:50;19,109;7,088
15.03.2010 12:00;19,223;7,125
15.03.2010 12:10;19,349;7,194
15.03.2010 12:20;19,462;
15.03.2010 12:30;19,563;7,277
15.03.2010 12:40;19,714;7,308
15.03.2010 12:50;19,871;7,374
15.03.2010 13:00;20,178;7,475
15.03.2010 13:10;20,449;
15.03.2010 13:20;20,580;7,653
15.03.2010 13:30;20,655;
15.03.2010 13:40;20,722;7,726
15.03.2010 13:50;20,836;7,747
15.03.2010 14:00;20,947;7,795
15.03.2010 14:10;21,004;7,820
15.03.2010 14:20;21,067;
15.03.2010 14:30;21,126;7,864
15.03.2010 14:40;21,251;
15.03.2010 14:50;21,409;7,967
15.03.2010 15:00;21,551;
15.03.2010 15:10;21,640;8,063
15.03.2010 15:20;21,695;8,095
15.03.2010 15:30;21,768;8,110
15.03.2010 15:40;21,827;8,143
15.03.2010 15:50;21,864;
15.03.2010 16:00;21,896;8,162
15.03.2010 16:10;21,927;8,178
15.03.2010 16:20;21,946;
15.03.2010 16:30;21,962;8,187
15.03.2010 16:40;21,974;8,192
15.03.2010 16:50;21,981;8,192
15.03.2010 17:00;21,984;8,192
15.03.2010 17:10;21,986;8,192
15.03.2010 17:20;21,986;8,192
15.03.2010 17:30;21,986;8,192
15.03.2010 17:40;21,986;8,192
15.03.2010 17:50;21,986;8,192
15.03.2010 18:00;21,986;
15.03.2010 18:10;21,986;
15.03.2010 18:20;21,986;
15.03.2010 18:30;21,986;
15.03.2010 18:40;21,986;
15.03.2010 18:50;21,986;
15.03.2010 19:00;21,986;
15.03.2010 19:10;21,986;
15.03.2010 19:20;21,986;
15.03.2010 19:30;21,986;
15.03.2010 19:40;21,986;
15.03.2010 19:50;21,986;
15.03.2010 20:00;21,986;
15.03.2010 20:10;21,986;
15.03.2010 20:20;21,986;
15.03.2010 20:30;21,986;
15.03.2010 20:40;21,986;
15.03.2010 20:50;21,986;
15.03.2010 21:00;21,986;
15.03.2010 21:10;21,986;
15.03.2010 21:20;21,986;
15.03.2010 21:30;21,986;
15.03.2010 21:40;21,986;
15.03.2010 21:50;21,986;
15.03.2010 22:00;21,986;
15.03.2010 22:10;21,986;
15.03.2010 22:20;21,986;
15.03.2010 22:30;21,986;
15.03.2010 22:40;21,986;
15.03.2010 22:50;21,986;
15.03.2010 23:00;21,986;
15.03.2010 23:10;21,986;
15.03.2010 23:20;21,986;
15.03.2010 23:30;21,986;
15.03.2010 23:40;21,986;
15.03.2010 23:50;21,986;
