sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
25.03.2010 00:00;165,274;
25.03.2010 00:10;165,274;
25.03.2010 00:20;165,274;
25.03.2010 00:30;165,274;
25.03.2010 00:40;165,274;
25.03.2010 00:50;165,274;
25.03.2010 01:00;165,274;
25.03.2010 01:10;165,274;
25.03.2010 01:20;165,274;
25.03.2010 01:30;165,274;
25.03.2010 01:40;165,274;
25.03.2010 01:50;165,274;
25.03.2010 02:00;165,274;
25.03.2010 02:10;165,274;
25.03.2010 02:20;165,274;
25.03.2010 02:30;165,274;
25.03.2010 02:40;165,274;
25.03.2010 02:50;165,274;
25.03.2010 03:00;165,274;
25.03.2010 03:10;165,274;
25.03.2010 03:20;165,274;
25.03.2010 03:30;165,274;
25.03.2010 03:40;165,274;
25.03.2010 03:50;165,274;
25.03.2010 04:00;165,274;
25.03.2010 04:10;165,274;
25.03.2010 04:20;165,274;
25.03.2010 04:30;165,274;
25.03.2010 04:40;165,274;
25.03.2010 04:50;165,274;
25.03.2010 05:00;165,274;
25.03.2010 05:10;165,274;
25.03.2010 05:20;165,274;
25.03.2010 05:30;165,274;
25.03.2010 05:40;165,274;
25.03.2010 05:50;165,274;
25.03.2010 06:00;165,274;
25.03.2010 06:10;165,274;
25.03.2010 06:20;165,275;63,522
25.03.2010 06:30;165,283;63,522
25.03.2010 06:40;165,300;63,522
25.03.2010 06:50;165,331;63,530
25.03.2010 07:00;165,399;63,549
25.03.2010 07:10;165,509;63,586
25.03.2010 07:20;165,655;63,641
25.03.2010 07:30;165,833;63,711
25.03.2010 07:40;166,044;63,793
25.03.2010 07:50;166,286;63,888
25.03.2010 08:00;166,558;63,993
25.03.2010 08:10;166,862;64,110
25.03.2010 08:20;167,196;64,242
25.03.2010 08:30;167,561;64,383
25.03.2010 08:40;167,953;64,537
25.03.2010 08:50;168,371;64,702
25.03.2010 09:00;168,821;64,876
25.03.2010 09:10;169,299;65,065
25.03.2010 09:20;169,805;65,261
25.03.2010 09:30;170,336;65,471
25.03.2010 09:40;170,886;65,684
25.03.2010 09:50;171,456;65,908
25.03.2010 10:00;172,046;66,141
25.03.2010 10:10;172,653;66,376
25.03.2010 10:20;173,275;66,621
25.03.2010 10:30;173,908;66,871
25.03.2010 10:40;174,543;67,113
25.03.2010 10:50;175,153;67,349
25.03.2010 11:00;175,747;67,587
25.03.2010 11:10;176,399;67,845
25.03.2010 11:20;177,070;68,106
25.03.2010 11:30;177,742;68,369
25.03.2010 11:40;178,426;68,640
25.03.2010 11:50;179,117;68,908
25.03.2010 12:00;179,811;69,182
25.03.2010 12:10;180,496;69,448
25.03.2010 12:20;181,175;69,712
25.03.2010 12:30;181,819;69,968
25.03.2010 12:40;182,409;70,197
25.03.2010 12:50;182,938;70,408
25.03.2010 13:00;183,619;70,675
25.03.2010 13:10;184,315;70,950
25.03.2010 13:20;184,986;71,211
25.03.2010 13:30;185,565;71,437
25.03.2010 13:40;186,207;71,689
25.03.2010 13:50;186,813;71,928
25.03.2010 14:00;187,420;72,167
25.03.2010 14:10;187,984;72,386
25.03.2010 14:20;188,554;72,611
25.03.2010 14:30;189,104;72,828
25.03.2010 14:40;189,625;73,030
25.03.2010 14:50;190,135;73,232
25.03.2010 15:00;190,612;73,418
25.03.2010 15:10;191,077;73,599
25.03.2010 15:20;191,514;73,772
25.03.2010 15:30;191,926;73,931
25.03.2010 15:40;192,290;74,075
25.03.2010 15:50;192,615;74,199
25.03.2010 16:00;192,904;74,313
25.03.2010 16:10;193,175;74,418
25.03.2010 16:20;193,412;74,509
25.03.2010 16:30;193,578;74,572
25.03.2010 16:40;193,741;74,635
25.03.2010 16:50;193,898;74,696
25.03.2010 17:00;194,006;74,736
25.03.2010 17:10;194,086;74,766
25.03.2010 17:20;194,144;74,788
25.03.2010 17:30;194,193;74,807
25.03.2010 17:40;194,228;74,820
25.03.2010 17:50;194,256;74,830
25.03.2010 18:00;194,274;74,836
25.03.2010 18:10;194,286;74,839
25.03.2010 18:20;194,292;74,839
25.03.2010 18:30;194,293;74,839
25.03.2010 18:40;194,293;
25.03.2010 18:50;194,293;
25.03.2010 19:00;194,293;
25.03.2010 19:10;194,293;
25.03.2010 19:20;194,293;
25.03.2010 19:30;194,293;
25.03.2010 19:40;194,293;
25.03.2010 19:50;194,293;
25.03.2010 20:00;194,293;
25.03.2010 20:10;194,293;
25.03.2010 20:20;194,293;
25.03.2010 20:30;194,293;
25.03.2010 20:40;194,293;
25.03.2010 20:50;194,293;
25.03.2010 21:00;194,293;
25.03.2010 21:10;194,293;
25.03.2010 21:20;194,293;
25.03.2010 21:30;194,293;
25.03.2010 21:40;194,293;
25.03.2010 21:50;194,293;
25.03.2010 22:00;194,293;
25.03.2010 22:10;194,293;
25.03.2010 22:20;194,293;
25.03.2010 22:30;194,293;
25.03.2010 22:40;194,293;
25.03.2010 22:50;194,293;
25.03.2010 23:00;194,293;
25.03.2010 23:10;194,293;
25.03.2010 23:20;194,293;
25.03.2010 23:30;194,293;
25.03.2010 23:40;194,293;
25.03.2010 23:50;194,293;
